yacName,loc,tonn,W
Panasqueira,Port,22000000,0.36
Xihuashan,PRC,9719000.,    1.6
Kami,Boli,4060000.,    1.06
Chicote Grande,Boli,2700000.,    0.66
Montredon,Fran,1580000.,    0.72
Pasto Bueno,PERU,1530000.,    0.68
Storeys Creek,AUTS,1365000.,    0.83
Hamme District,USNC,1300000.,    0.7
Los Condores,Argn,2500000.,    0.5
Grey River,CNNF,520000.,    1.09
Oakleigh Creek,AUTS,154000.,    1.19
San Martin,Argn,121000.,    1.3
Isla de Pinos,Cuba,55000.,    1.36
Carrock Fell,GRBR,50000.,    1.0
Needle Hill,HNKN,40500.,    1.0
Josefina,Argn,26910.,    0.75
Los Avestruces,Argn,2050000.,    0.6
Bir Tawilah,SADI,265000.,    0.69
