yacName,tonn,Cu,Au,Pb,Ag,Z
ALBERT LEA GROUP,  1100.,        0.5,.0000000,      12.,        0.02300,          4.
ALTOONA-ELKHORN-MERCURY,  7990.,        0.0,.0000016,     1.85,        0.00658,        2.98
AMAZON,  212.,       0.12,.0007200,      6.1,        0.02770,         0.0
ANTOINE,  18400.,26,.0000032,     25.2,        0.36600,        5.89
ARLINGTON,  12000.,        0.0,.0000000,       5.,        0.20600,         0.0
BADGER,  870.,74,.0020000,      17.,        0.04400,         2.7
BALTIC AND REVENUE,  410.,        11.,.0021000,      1.4,        0.66300,         0.0
BALTIMORE,  14600.,       0.75,.0003300,     3.48,        0.05210,        0.77
BELL,  4150.,        0.0,.0000060,      41.,        0.26280,        16.9
BELL BOY-NILES-TOWSLEY,  5490.,       0.29,.0002900,       5.,        0.00292,        4.02
BELL AND CALIFORNIA,  3000.,57,.0000000,     37.6,        0.07360,         0.0
BIG FOUR,  1430.,       0.13,.0001800,      8.6,        0.01570,         3.9
BOSUA,  63210.,        0.0,.0000050,     7.76,        0.09560,          5.
BULLION,  2000.,       0.78,.0000000,      28.,        0.07330,         0.0
C.O.D.,  4000.,       0.83,.0012000,      6.8,        0.35800,        0.81
CALIF.-HARTNEY-MARION,  610.,        0.0,.0000000,     42.3,        0.26510,        1.29
CARNATION-JENNIE LIND,  626.,        0.0,.0000230,     9.92,        0.09980,        3.13
CENTRAL CERBAT DISTRICT,  11000.,58,.0014000,      3.5,        0.01300,        0.82
CHAMPION-NEW LONDON,  2600.,       0.29,.0012000,      17.,        0.03240,         6.4
CHLORITE DISTRICT,195000,.      0.23,.0009200,      16.,        0.02900,         18.
COMSTOCK,  456.,        0.0,.0000000,     37.2,        0.31140,         0.0
CORK-PROVINCE,  58000.,        0.0,.0000000,      4.5,        0.01300,         1.6
DARDANELLES,  572.,        0.0,.0000000,      25.,        0.73700,         0.0
DEFIANCE,  1200.,       0.55,.0005900,      16.,        0.00980,         3.7
EVA MAY,  190.,        1.5,.0001300,      1.7,        0.04200,         0.0
FISHER MAIDEN GROUP,  1090.,        0.0,.0000028,     5.35,        0.21010,         5.1
FLINT-MARTIN,  225.,        0.0,.0000000,     42.7,        0.20340,        3.23
GALENA FARM AND VICNITY,  84570.,        0.0,.0000031,     3.68,        0.02290,        5.55
GRAY EAGLE,  13800.,       0.28,.0002900,      3.4,        0.07660,        0.76
IDAHO-ALAMO GROUP,  23400.,17,.0000000,      32.,        0.33900,         2.2
IDAHO-ALAMO-SILVER BELL,  27600.,        0.0,.0000056,     9.16,        0.19230,        0.98
IVANHOE-CANADIAN,  41150.,        0.0,.0000001,     6.66,        0.04040,        0.84
KENO HILL-GALENA HILL,250000,0.      0.0,.0000000,      8.4,        0.18300,          5.
KING SOLOMON,  260.,       0.11,.0000000,      4.3,        0.21540,         0.0
LEADSMITH,  340.,        0.0,.0000000,      42.,        0.15000,        0.69
LEGAL TENDER,  410.,    0.0086 .,6,      1.3,        0.29300,         1.3
LITTLE MELL,  6410.,       0.03,.0000000,     0.54,        0.06270,        0.71
LIVERPOOL,  11650.,14,.0000240,      3.4,        0.16650,        1.14
MAJESTIC-SAPPHIRE,  258.,        0.0,.0003980,     57.8,        0.19560,         0.0
MAMMOTH-ST ANTHONY,138000,0.      0.4,.0004880,     2.21,        0.00181,        5.64
MARIETTA,  26000.,        6.6,.0043000,      4.8,        0.02600,         5.4
MINERAL PARK,  3000.,        5.7,.0033000,      5.6,        0.52000,         1.7
MINNIEHAHA,177000,.       0.0,.0000000,      5.5,        0.05190,        5.03
MOLLY GIBSON,160200,        0.0,.0000007,     4.05,        0.05560,        3.76
MONITOR,  18100.,        0.0,.0001720,     7.23,        0.06900,         2.3
MONTEZUMA,  3843.,        0.0,.0000000,     14.5,        0.04380,        3.55
MOUNTAIN CHIEF & VICNITY,  3235.,        0.0,.0000490,     28.4,        0.36240,        5.66
MOUNTAIN CON,  448.,        0.0,.0000833,     29.2,        1.43300,        2.69
NOONDAY,  357.,        0.0,.0000087,     41.3,        0.15360,        1.37
NORTH CERBAT (GOLCONDA),234000,.     0.075,.0003100,      4.8,        0.01570,        10.1
NORTHERN BELL-JACKSON,  5790.,        0.0,.0000064,     14.5,        0.05190,         10.
PAYNE GROUP,111000,.       0.0,.0000000,     15.7,        0.10500,        0.93
PENNSYLVANIA,  61000.,55,.0001800,      5.6,        0.04550,         0.0
QUEEN BESS AND VICINITY,  19500.,        0.0,.0000117,      50.,        0.25710,881
RAMBLER-CARIBOO,189000,.       0.0,.0000004,     5.66,        0.05750,         1.4
RIO,  170.,        0.0,.0000360,     31.1,        0.80200,          6.
ROBERT EMMET,  110.,        1.1,.0000280,      2.4,        0.03240,         0.0
SANTIAGO-CMMWEALTH-CENT,  15000.,        1.7,.0019000,     10.8,        0.06940,         0.7
SCRANTON-PONTIAC-SUNSET,274200,.     0.014,.0013500,     14.6,        0.04490,        13.1
SLVRSMTH-RCHMND-RTH-HPE,387600,.       0.0,.0000514,     11.8,        0.08560,        3.64
SLOCAN-SOVEREIGN,  4100.,        0.0,.0000000,      14.,        0.06200,         0.0
SOHO,  215.,        0.0,.0000000,     31.4,        0.21800,         1.2
STANDARD AND VICINITY,744000,.       0.0,.0000027,     5.23,        0.03660,        6.66
STOCKTON,  20000.,       0.23,.0008300,      8.2,        0.04800,        1.14
SUNSHINE-CORINTH,  575.,        0.0,.0000200,      24.,        0.10660,        1.69
SRPRS-NBL 5 & VICINITY,110400,.       0.0,.0000006,     14.9,        0.14160,          5.
TREASURE HILL,  820.,        0.0,.0017000,      8.5,        0.34000,         0.0
UTICA,  39300.,    0.0046 .,486,     7.39,        0.22100,        3.33
VANCOUVER GROUP,240000,.       0.0,.0000000,      2.6,        0.00000,          2.
VON ROI-HEWITT-A.U.,404000,.       0.0,.0000034,     2.57,        0.03810,        2.71
WELLINGTON,  1780.,        0.0,.0000070,      13.,        0.21500,         4.9
WINTROP,  613.,        0.0,.0003470,     8.46,        0.05990,        4.18
WONDERFUL-ELKHORN,  31500.,        0.0,.0000220,      5.5,        0.41470,        4.07
TYPO,530000,.       0.0,.0008560,      11.,        0.09730,         0.0
UNION,  19500.,       0.16,.0000410,     1.85,        0.00837,        5.94
