yacName,loc,tonn,Au,Ag
 Atlanta, USNV,     1000000., 0.000274, 0.005480
 Borealis, USNV,     4170000., 0.000257, 0.001714
 Buckhorn, USNV,     4540000., 0.000151, 0.002005
 Crowfoot, USNV,    22680000., 0.000086, 0.000000
 Fire Creek, USNV,      317400., 0.000206, 0.000000
 Florida Canyon, USNV,    35870000., 0.000079, 0.000000
 Hasbrouck, USNV,    11700000., 0.000100, 0.002020
 Hog Ranch, USNV,    30000000., 0.000177, 0.000009
 Ivanhoe, USNV,    75730000., 0.000117, 0.000000
 Lewis, USNV,     9070000., 0.000137, 0.000000
 McLaughtin, USCA,    18100000., 0.000548, 0.000000
 Mother Lode, USNV,     4440000., 0.000185, 0.000000
 Paradise Peak, USNV,    16480000., 0.000289, 0.008018
 Rawhide, USNV,    35460000., 0.000114, 0.001611
 Round Mtn., USNV,   243800000., 0.000114, 0.000211
 Sleeper, USNV,    47410000., 0.000166, 0.000500
 Wind Mtn., USNV,    13610000., 0.000072, 0.001440
