yacName,Loc,tonn,Au,Ag,Cu,Pb,Zn
ANIMAS,USA,8500000.,0.00034,0.0099,0.45, 2.0,300
BONANZA,USA,508000.,0.0001,0.0237,1.20, 2.6,230
CASAPALCA,PERU,17000000.,0.0001,0.0161,0.30, 1.8,3500
CHAVIN,PERU,315000.,0.0,0.0125,0.80, 8.0,12500
COCO MINA,NICA,10300000.,0.00017,0.0026,0.0, 0.0,3400
COLQUI,PERU,5310000.,0.00014,0.0132,0.20, 1.7,4900
CREEDE,USA,3900000.,0.00012,0.0714,0.10, 4.0,1700
EL TIGRE,MEXI,1230000.,0.00086,0.1340,0.25, 1.0,1500
EUREKA,USA,7200000.,0.00031,0.0050,0.24, 2.3,2940
HOSOKURA,JAPA,14400000.,0.00002,0.0037,0.0, 1.5,4100
KATA,PERU,100000.,0.0,0.0075,0.0, 7.0,6000
LAKE CITY,USA,810000.,0.00027,0.0223,0.17, 5.7,90
LOS MANTIALES,ARGE,24000.,0.0,0.0011,0.0, 6.0,9000
MADRIGAL,PERU,1380000.,0.0,0.0110,1.97, 2.8,4900
NOGAL,USA,43000.,0.0011,0.0044,0.0, 7.1,400
OGANE,JAPA,476000.,0.00042,0.0094,0.0, 1.1,2700
OHE,JAPA,1920000.,0.00013,0.0057,0.10, 0.9,2500
OPHIR,USA,766000.,0.00058,0.0171,0.10, 2.0,7
PACHUCA-R d MONTE,MEXI,107000000.,0.00022,0.0461,0.04, 0.2,750
RED MOUNTAIN,USA,185000.,0.00051,0.0165,1.04, 2.4,0.0
RIO PALLANGA,PERU,4400000.,0.00002,0.0170,0.0, 4.0,5000
SAI,JAPA,111000.,0.00003,0.0091,2.30, 0.0,2200
SNEFFELS,USA,3240000.,0.00144,0.0223,0.45, 2.2,2100
TELLURIDE,USA,23200000.,0.00055,0.0093,0.31, 1.4,1420
TOYOHA,JAPA,7550000.,0.00003,0.0121,0.0, 3.0,7400
URUACHIC,MEXI,33000.,0.0032,0.1360,0.15, 1.6,200
YATANI,JAPA,1270000.,0.00013,0.0050,0.10, 2.3,4600
