yacName,loc,tonn,Mn,Fe,P
Abra Negra,MXCO,     121917.,      19.,      0.0,      0.00
Armour Group,USAZ,       6123.,      30.,      0.0,      0.00
Atenguillo,MXCO,       7850.,      26.,      0.0,      0.00
Black Crow-San Juan,USNM,     102657.,      43.,      0.0,      0.00
California Froup,USAZ,       2768.,      27.,      0.0,      0.00
Casa de Janos,MXCO,     312695.,      19.,    10.00,      0.80
Casas Grandes,MXCO,      10004.,      19.,      0.0,      0.00
Cliff Roy,USNM,       1990.,      28.,      0.0,      0.00
Ciudad Obregon,MXCO,      10550.,      15.,      0.0,      0.00
Estasion Llanos,MXCO,     117179.,      27.,      0.0,      0.00
Gloryana,USNM,     150000.,      38.,      0.0,      0.00
Griffith,USNM,      12720.,      37.,      0.0,      0.00
Hatton,USAZ,        995.,      38.,    10.00,      0.00
J.M.Meadows Gp.,USAZ,        110.,      40.,      0.0,      0.00
JVB Claim,USNM,       3300.,      40.,      0.0,      0.00
Karangnunggal,INDS,     365000.,      28.,      0.0,      0.00
Karatas,TRKY,      25000.,      52.,      0.0,      0.00
Kliripan,INDS,     130000.,      30.,      0.0,      0.00
La Leona,MXCO,       4450.,      24.,      0.0,      0.00
LA Noria,MXCO,       8550.,      25.,      0.0,      0.00
Lajas,MXCO,      15600.,      36.,      0.0,      0.00
Las Varas-La Vasa,MXCO,      54533.,      27.,      0.0,      0.00
Los Volcanes,MXCO,       3150.,      21.,      0.0,      0.00
Los Borregas,MXCO,     185040.,      23.,      0.0,      0.00
Manganese Development,USAZ,        250.,      46.,      0.0,      0.00
Matamoros,MXCO,      90336.,      34.,      0.0,      0.00
M and M Group,USNM,       3400.,      24.,      0.0,      0.00
Manganese Chief,USNM,     995000.,      39.,      0.0,      0.00
Mezcala,MXCO,       6100.,      22.,      0.0,      0.00
Montosa,MXCO,     135550.,      29.,      0.0,      0.00
Murguia,MXCO,      88800.,      30.,      0.0,      0.00
Nacozari,MXCO,      10860.,      32.,      0.0,      0.00
Niggerhead,USNM,      30000.,      34.,      0.0,      0.00
Oviachi 1 and 2,MXCO,      40530.,      36.,      0.0,      0.00
Phillips Lease,USNM,       3300.,      40.,      0.0,      0.00
Pito Real,MXCO,      27520.,      34.,      0.0,      0.00
Red Hill &  Ext.,USNM,    1327000.,      35.,      0.0,      0.00
St. Pietro,ITLY,      48000.,      40.,      0.0,      0.00
San Bernardo,MXCO,      25090.,      39.,      0.0,      0.00
San Miguel El Alto,MXCO,      42530.,      33.,      0.0,      0.00
Santa Ana,MXCO,       8244.,      24.,      0.0,      0.00
Sardegna,ITLY,      57000.,      37.,      0.0,      0.00
Satevo,MXCO,     106810.,      24.,      0.0,      0.00
Selimiye,TRKY,      38500.,      21.,      0.0,      0.00
Shag  Rock,CNBC,     136000.,      15.,      0.0,      0.00
Sierra de El Alto,MXCO,      40000.,      29.,      0.0,      0.00
Sierra de Enmedio,MXCO,      26100.,      24.,      0.0,      0.00
Sierra Los Organos,MXCO,     340640.,      21.,      0.0,      0.00
Sieta Tinajas Soto,MXCO,       6800.,      30.,      0.0,      0.00
Talamantes,MXCO,     293000.,      29.,      0.0,      0.00
Terrentes,MXCO,    1040850.,      23.,      0.0,      0.00
Thurston & Hardy,USAZ,       1106.,      45.,      0.0,      0.00
Topock,USAZ,      21800.,      20.,     3.50,      0.00
Turfullar,TRKY,       5000.,      46.,      0.0,      0.00
U.S. Group,USAZ,       4900.,      40.,      0.0,      0.00
Viterbo-Roma,ITLY,      23000.,      23.,      0.0,      0.00
West Niggerhead,USNM,      13500.,      35.,      0.0,      0.00
Yahualica,MXCO,     646900.,      39.,      0.0,      0.00
Zacate-Cerro Chino,MXCO,      42000.,      21.,      0.0,      0.00
