YacName,Loc,Tonn,Cu,Au,Pb,Ag,Zn
Abeshiro,JAPN,    1700000.,2200, 0.0001200,1000,    0.0219000,11800
Adak-Lindskold,SWDN,    5920000.,1550, 0.0000300,0,    0.0005000,0
Afterthought,USCA,     151000.,3230, 0.0001000,2170,    0.0190000,16150
Aijala,FNLD,     840000.,1800, 0.0000750,20,    0.0015000,600
Akarsen,TRKY,    4000000.,2870, 0.0002300,0,    0.0035000,0
Akkoy,TRKY,    1882000.,470, 0.0000000,0,    0.0000000,2860
Akulla Vastra,SWDN,    1000000.,1000, 0.0000700,0,    0.0012000,0
Albert,CNQU,     544000.,3000, 0.0000000,0,    0.0000000,0
Aldermac,CNQU,    1980000.,1520, 0.0000170,0,    0.0006500,0
Allard River,CNQU,     449000.,750, 0.0000000,0,    0.0000000,0
AlmagreraLapilla,SPAN,   15500000.,700, 0.0000000,700,    0.0000000,700
Amulet A,CNQU,    5871000.,4850, 0.0001390,0,    0.0050300,5790
Amulet F,CNQU,     260000.,3400, 0.0000510,0,    0.0046300,8600
Anayatak Ergani,TRKY,   24100000.,2940, 0.0001120,0,    0.0018700,0
Anaytk-Cakmakaya,TRKY,   83144000.,760, 0.0000048,0,    0.0003700,30
Anderson Lake,CNMN,    3130000.,3600, 0.0000620,0,    0.0007750,150
Angelo,AUWA,     508000.,2210, 0.0000000,0,    0.0000000,0
Anne,NRWY,      20000.,1800, 0.0000000,0,    0.0000000,500
Antler,USAZ,      92000.,2500, 0.0000310,700,    0.0032600,6500
Arctic,USAK,   36290000.,4000, 0.0000017,1000,    0.0051420,5500
Bjurliden,SWDN,      96000.,100, 0.0000210,200,    0.0040000,3700
Armstrong A,CNNB,    3180000.,290, 0.0000690,420,    0.0002400,2290
As Safra,SAAR,    4500000.,1290, 0.0001000,400,    0.0000000,800
Asen-East,SWDN,     180000.,1100, 0.0000610,200,    0.0031000,800
Asen-West,SWDN,     482000.,1300, 0.0000710,200,    0.0052000,1900
Ash Shizm,SAAR,    1000000.,2920, 0.0000000,0,    0.0000000,740
