yacName,Loc,Tonn,Au,Ag
"Cox, Bolyan-Lober",USAK,120,  0.003600,  0.0000000
missing,,250,  0.007530,  0.0000000
Achilles,NZLD,1300,  0.001700,  0.0000000
Alabama Shoot,AUVT,600,  0.015000,  0.0000000
Alaska-Juneau,USAK,160000000,  0.000110,  0.0000740
Alex Hill-Mad Kiss,GUYN,200000,  0.001800,  0.0000000
Alleghany East,USCA,110000,  0.001800,  0.0000000
Alleghany West,USCA,720000,  0.000990,  0.0008200
Alma Mine,,160,  0.008100,  0.0000000
Alto,USCA,750000,  0.000200,  0.0000000
Amador City,USCA,3600000,  0.001600,  0.0000000
American Bar,USCA,9100,  0.001700,  0.0000000
Ample,CNBC,2800,  0.000820,  0.0000000
Anetts and Company,,570,  0.000760,  0.0000000
Angels-Carson,USCA,17000000,  0.000520,  0.0000000
Aqua Fria,,12,  0.001700,  0.0000000
Ardoise,,58,  0.000360,  0.0000000
Argo,USCA,640,  0.002600,  0.0000000
Argus Hill,AUVT,40000,  0.001400,  0.0000000
Arnold,,540,  0.003300,  0.0000000
Ashland,USOR,140000,  0.002700,  0.0000000
Aurora Bor.-Bessie,,620,  0.001600,  0.0000000
AVG-Sanderson,USCA,2500,  0.006300,  0.0000000
Bagby,USCA,490000,  0.000590,  0.0000000
Bagby Valley,USCA,21000,  0.001800,  0.0000000
Ballarat,AUVT,5000000,  0.001000,  0.0000000
Banner,,1800,  0.002400,  0.0000000
Barrandum,USCA,100,  0.001300,  0.0000000
Batt,,30,  0.003900,  0.0000000
Bear Valley,USCA,24000,  0.003000,  0.0005700
Beaver Dam,CNNS,3300,  0.000920,  0.0000000
Belden,USCA,11000,  0.004500,  0.0000000
Bendigo,AUVT,15000000,  0.001600,  0.0000000
Bendigo,NZLD,630000,  0.001100,  0.0002200
Berry Creek,USCA,5000,  0.001700,  0.0000000
Bethanga,AUVT,63000,  0.003900,  0.0000000
Big Hill Mines,,1500,  0.002700,  0.0000680
Big Hurrah,,42000,  0.002000,  0.0002200
Big Oak Flat,USCA,2900000,  0.001300,  0.0000000
Bimbimbi,,5000,  0.004000,  0.0000000
Birthday-Wilm Fncy,AUVT,910000,  0.000820,  0.0000000
Black Bear,USCA,260000,  0.001800,  0.0000000
Black Boy,USCA,57000,  0.005000,  0.0000000
Black Cld-Red Cld,,91,  0.000500,  0.0000000
Blackstone,USCA,6900,  0.002600,  0.0000000
Blockhouse,CNNS,5600,  0.002000,  0.0000000
Blue Lead,USAK,140,  0.000720,  0.0005800
Blue Mountain,USCA,8200,  0.001400,  0.0000000
Bogan and Baitelle,,50,  0.003300,  0.0000690
Bonanza,NZLD,2200,  0.002900,  0.0000000
Bondurant,USCA,21000,  0.001700,  0.0011000
